,artists,album_name,track_name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
62,"Yo Yo Honey Singh, Jasmine Sandlas",Yo Yo Honey Singh Is Back,"Yaar Naa Miley (From ""Kick"")",57,243206,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01e-06,0.75,0.551,127.988,4
63,"Jaz Dhami, Yo Yo Honey Singh",High Heels,High Heels,60,297770,0.891,0.913,1,-4.453,1,0.149,0.394,0.000173,0.373,0.772,130.045,4
64,Samia,Honey,Honey,56,203826,0.806,0.507,11,-6.43,1,0.0428,0.45,2.11e-06,0.0987,0.788,119.993,5
65,"Anirudh Ravichander, Yo Yo Honey Singh, Hiphop Tamizha",Ethir Neechal (Original Motion Picture Soundtrack),Ethir Neechal,63,270720,0.752,0.97,5,-4.167,1,0.0943,0.0556,1.21e-06,0.0999,0.537,119.97,4
66,"Yo Yo Honey Singh, Neha Kakkar, Nushrratt Bharuccha",Saiyaan Ji,Saiyaan Ji,57,205450,0.896,0.678,0,-2.546,0,0.0815,0.0137,4.1e-05,0.11,0.604,130.024,4
67,"Yo Yo Honey Singh, Neha Kakkar, Navraj Hans",Sonu Ke Titu Ki Sweety,Chhote Chhote Peg,57,203881,0.831,0.908,7,-3.317,1,0.101,0.328,0.00371,0.077,0.734,104.962,4
68,"Yo Yo Honey Singh, Neha Kakkar",Yo Yo Honey Singh Is Back,"Sunny Sunny (From ""Yaariyan"")",55,243319,0.794,0.878,11,-7.502,0,0.078,0.00138,0.029,0.197,0.352,129.978,4
69,"Yo Yo Honey Singh, Neha Kakkar",Yaariyan,Sunny Sunny,58,243319,0.794,0.878,11,-7.502,0,0.078,0.00138,0.029,0.197,0.352,129.978,4
70,Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,"Chaar Botal Vodka (From ""Ragini Mms 2"")",60,225837,0.877,0.881,4,-3.713,0,0.0713,0.421,0.000345,0.12,0.874,123.024,4
71,"Benny Dayal, Shefali Alvares, Yo Yo Honey Singh",Yo Yo Honey Singh Is Back,"Abcd -Yaariyan (From ""Yaariyan"")",48,205513,0.707,0.815,0,-4.282,1,0.0573,0.0217,0.0,0.0466,0.735,128.038,4
72,"Yo Yo Honey Singh, Millind Gaba, Asli GOLD",Paris Ka Trip,Paris Ka Trip,65,196430,0.814,0.723,7,-5.638,1,0.235,0.178,0.0,0.0445,0.768,74.981,4
73,Samia,Breathing Song / Honey,Honey,49,203826,0.806,0.507,11,-6.43,1,0.0428,0.45,2.11e-06,0.0987,0.788,119.993,5
74,"Sweetaj Brar, Yo Yo Honey Singh","Care Ni Karda (From ""Chhalaang"")","Care Ni Karda (From ""Chhalaang"")",61,192992,0.937,0.729,0,-2.931,1,0.094,0.129,0.0,0.291,0.736,114.671,5
75,Bella,Honey Singh,Honey Singh,26,192934,0.714,0.449,0,-11.033,1,0.0597,0.0931,0.000107,0.0769,0.208,136.999,4
76,Yo Yo Honey Singh,"Kudi Chamkeeli (From ""Selfiee"")","Kudi Chamkeeli (From ""Selfiee"")",62,246467,0.767,0.805,7,-4.808,1,0.0466,0.125,0.0,0.157,0.607,114.997,4
77,Yo Yo Honey Singh,One Bottle Down,One Bottle Down,63,196556,0.655,0.629,1,-7.231,1,0.0415,0.00109,0.063,0.0752,0.193,131.966,4
78,"Yo Yo Honey Singh, Neha Kakkar, Navraj Hans",Yo Yo Honey Singh Is Back,"Chhote Chhote Peg (From ""Sonu Ke Titu Ki Sweety"")",50,203881,0.831,0.908,7,-3.317,1,0.101,0.328,0.00371,0.077,0.734,104.962,4
79,"Tony Kakkar, Yo Yo Honey Singh, Neha Kakkar",Kanta Laga,Kanta Laga,58,207084,0.907,0.74,9,-5.059,0,0.0857,0.0214,0.00196,0.193,0.796,95.002,4
80,Yo Yo Honey Singh,Together Forever,Together Forever,47,229218,0.737,0.832,9,-5.199,0,0.165,0.26,0.0,0.108,0.67,160.022,4
81,"Yo Yo Honey Singh, Iulia Vantur",Yai Re,Yai Re,53,245032,0.791,0.892,0,-4.005,1,0.08,0.0076,6.33e-06,0.123,0.922,123.955,4
82,"Yo Yo Honey Singh, Neha Kakkar, Singhsta, Pinaki, Sean, Allistair",Super Hits Of Yo Yo Honey Singh,"Makhna (From ""Makhna"")",50,191761,0.846,0.739,11,-3.838,0,0.171,0.0385,2.24e-05,0.0929,0.259,104.984,4
83,"Meet Bros., Yo Yo Honey Singh, Jaz Dhami, Aditi Singh Sharma",Yo Yo Honey Singh Is Back,"High Heels Te Nachche (From ""Ki &amp; Ka"") (feat. Jaz Dhami, Aditi Singh Sharma)",54,212115,0.796,0.85,1,-3.641,1,0.203,0.0992,0.0,0.129,0.559,136.03,4
84,"Honey Singh, Dollar D",Hogi Meri Jeet 2,Hogi Meri Jeet 2,27,152195,0.688,0.787,3,-3.865,0,0.281,0.456,0.0,0.331,0.735,164.105,4
85,"Yo Yo Honey Singh, Simar Kaur",Loca,Loca,49,210488,0.937,0.851,0,-3.81,1,0.0642,0.0251,0.0,0.0704,0.655,111.973,4
86,"Guru Randhawa, Yo Yo Honey Singh, Divya Khosla Kumar",Designer,Designer,57,219095,0.41,0.907,4,-3.105,0,0.101,0.0689,0.0,0.247,0.793,194.179,4
